,FATS,PROTEIN,CARBS,CALORIES
adhirasam,5g,4g,20g,302
aloo_gobi,7g,12g,52g,304
aloo_matar,1g,7g,48g,219
aloo_methi,9g,6g,29g,223
aloo_shimla_mirch,6g,3g,30g,180
aloo_tikki,24g,20g,40g,60
anarsa,23g,1g,25g,304
ariselu,8.9g,2g,45g,312
basundi,5g,4g,28g,260
bhatura,9g,7g,28g,220
bhindi_masala,1g,4g,7g,83
biryani,12g,11g,56g,365
boondi,10g,5g,12g,145
butter_chicken,24g,31g,40g,497
chak_hao_kheer,2.97g,4.21g,36.49g,181
cham_cham,2g,4g,35g,170
chana_masala,3g,11g,55g,290
chapati,0g,2g,5g,120
chena_kheeri,7g,14g,20g,250
chicken_razala,20g,19g,13g,308
chicken_tikka ,2g,26g,3g,133
chicken_tikka_masala,12g,46g,8g,324
chikki,40g,24g,40g,620
daal_puri ,3g,3g,16g,110
dal_baati_churma,5g,4g,30g,320
dal_makhani,29g,7g,17g,350
dal_tadka,8g,7g,19g,170
dharwad_pedha,2g,5g,10g,90
doodhpak ,1g,50g,1g,100
double_ka_meetha,11g,7g,54g,337
dum_aloo,5g,5g,34g,164
gajar_ka_halwa,3g,9g,16g,81
gavvalu,5g,1g,0g,100
ghevar,45g,6g,75g,769
gulab_jamun,20g,2g,17g,232
imarti,18g,4g,80g,500
jalebi,3g,1g,72g,354
kachori,23g,0g,52g,466
kadai_paneer,36g,19g,26g,458
kadhi_pakoda,4g,8g,14g,178
kajjikaya,5g,2g,4g,78
kakinada_khaja,79g,5g,80g,130
kalakand,6g,5g,17g,142
karela_bharta,6g,2g,17g,117
kofta,17g,79g,12g,524
kuzhi_paniyaram,14g,5g,42g,272
lassi,3g,5g,25g,154
ledikeni,1g,50g,1g,100
litti_chokha,3g,5g,25g,144
lyangcha,1g,50g,1g,100
maach_jhol,9g,6g,14g,163
makki_di_roti_sarson_da_saag,7g,4g,5g,70
malapua,7g,1g,23g,151
misi_roti,6g,8g,57g,203
misti_doi,6g,4g,27g,179
modak,6g,2g,32g,187
mysore_pak,51g,4g,41g,574
naan,3g,5g,48g,250
navrattan_korma,7.1g,4.3g,12.9g,135.7
palak_paneer,7g,10g,10g,97
paneer_butter_masala,1g,1g,3g,20
phirni,5g,8g,25g,126
pithe,3g,5g,45g,226
poha,6g,7g,69g,330
poornalu,1g,50g,1g,100
pootharekulu,4g,2g,31g,158
qubani_ka_meetha,1g,50g,1g,100
rabri,18g,4g,56g,410
ras_malai,8g,10g,19g,184
rasgulla,2g,2g,25g,120
sandesh,11 g,5g,26g,220
shakarpali,25g,4g,55g,230
sheer_korma,10g,50g,40g,100
sheera,13g,5g,46 g,314
shrikhand,5g,5g,42g,234
sohan_halwa,39g,1g,19g,103
sohan_papdi,15g,35g,35 g,281
sutar_feni,11 g,6g,66g,394
unni_appam,1g,1g,13g,71
